quarter,gross_SR,net_SR,gross_CR,net_CR,gross_cumPnL,net_cumPnL,avg_daily_trades,num_days,summary_stat
2023_Q1,2.4533746849658753,2.2277016404989114,7.6101028867044125,6.4576148508146565,15663.150000000063,14211.150000000065,1.375,88,4.585366573353232
2023_Q2,2.436475815291299,2.041398993599502,7.919689981782226,6.162739594643903,8692.899999999872,7312.899999999872,1.2921348314606742,89,3.066828957853681
2023_Q3,-1.3439591359109986,-1.6548529789985338,-2.5516128389778414,-2.8365916423755877,-5338.049999999794,-6634.049999999794,1.2134831460674158,89,-4.077446158441542
2023_Q4,0.7176849939721663,0.3939815712076848,2.199908888201127,1.1020721649438365,2618.6000000000604,1442.6000000000604,1.101123595505618,89,-0.038850139531687304
2024_Q1,2.1478693604250387,1.8434996641849453,6.293421700790333,5.0021829477521385,8638.950000000068,7450.950000000068,1.125,88,2.6982061859564896
2024_Q2,1.8702743613391468,1.619708019501021,7.17460788610959,5.723990068264606,9054.599999999846,7854.599999999846,1.1235955056179776,89,2.3078294683078773
2024_Q3,-1.2111024368049,-1.4317715072897674,-1.1717268444737972,-1.3337096291966473,-6623.000000000138,-7895.000000000138,1.1521739130434783,92,-3.99148356095896
2024_Q4,-0.06447811446768344,-0.28314488195265713,-0.15176279349104782,-0.6138862409750677,-381.44999999999527,-1677.4499999999953,1.173913043478261,92,-0.4051010989950555
2025_Q1,-0.9047659225481065,-1.1360528334053028,-1.2844191084015244,-1.4635677187983518,-5185.900000000129,-6541.900000000129,1.2696629213483146,89,-3.0728796573623884
2025_Q2,1.5164622813475774,1.429531263529214,3.7143992248226376,3.4403652009198082,18192.399999999863,17148.399999999863,0.9560439560439561,91,2.6416394291018404
2025_Q3,-0.928986834162964,-1.1678227698320869,-1.6140020007650238,-2.006085394861947,-3972.000000000162,-5016.000000000162,0.9456521739130435,92,-2.6895857087730106
2025_Q4,-1.147839096115681,-1.3002529859867902,-3.4663478638810816,-3.8969080567858283,-3153.7500000000364,-3585.7500000000364,1.1612903225806452,31,-2.298864837868806
